id,country,state,city,zip_code,street
100,Algerie,Batna,Rue des Frères BOUABSA,19000,N⁰ 30
101,Algerie,,Rue Kaloua el cheref Hassi Mameche,19000,W49A
102,Algerie,Algerie,( place ettoute) Blida,19000,1 rue ezzroug ezzraimi
103,Algerie,,Djelfa,19000,Hassi Bahbah 17000
104,Algerie,,Djelfa,19000,Messaâd
105,Algerie,,Skikda,19000,
106,Algerie,,Alger,19000,Coop cilfa ben mred Bordj el kiffan
107,Algerie,a côté du tribunal de Ouargla,,19000,
108,Algerie,N°6 Rue 8  Tissemsilt,,19000,
109,Algerie,Algèrie,Alger,19000,rue Chenoua Hydra
110,Algerie,23 Rue Ben Amiour Abdelkader Annaba,,19000,
111,Algerie,Algèrie,Mascara .Mohammadia,19000,
112,Algerie,,Oran,19000,Rue Mohamed V
113,Algerie,N°03 Rue Ben boulaid el hadjar Annaba,,19000,
114,Algerie,,Citè 410 lgts  Batna,19000,
115,Algerie,GHAZAOUET,,19000,
116,Algerie,,Biskra,19000,tolga
117,Algerie,,Blida,19000,Rue11 Décembre 1960
118,Algerie,,11 rue bouzbide Ahmed Annaba,19000,
119,Algerie,Algerie,Cité 400 Logst Bâtiment B 8 N 44 en face lycee Chihab El eulma wilaya de sétif,19000,
120,Algerie,Algerie.,zone sud Quartier A N°8 tizi ouzou,19000,
121,Algerie,,Mascara,19000,Rue Belaouni Benaissa
122,Algerie,,Annaba,19000,25 rue emir abdelkader
123,Algerie,Cité brahmia sadek 172 logements bloc A7 N° 01 Tebessa,,19000,
124,Algerie,,Blida,19000,
125,Algerie,Cité cnep chevalley Bouzareah,,19000,
126,Algerie,,Batna,19000,Rue Hadj Abdelmadjid Abbdessamed
127,Algerie,Algèrie,Alger,19000,Cité Malki bt j 7 n 3 Ben Aknoun
128,Algerie,,,19000,
129,Algerie,,Alger,19000,Kouba
130,Algerie,,Blida,19000,Zabana
131,Algerie,,Touggourt,19000,Tebesbest
132,Algerie,11 RUE TALEB ABDERHAMENE BEB EL OUED ALGER,,19000,
